"Time","HomeSchedulingName","AwaySchedulingName","HomeTeam","AwayTeam","HomeScores","VisitorScores","Pool","Division","Field","ReservationGroup","Place","GameName"
"2021-09-04 09:00:00",,,"Disckick Berlin","Next Generation Nürnberg","9","14","Pool B","Mixed 1. Liga 9-16","1","mixed1","Münster",
"2021-09-04 10:40:00",,,"Nullacht! Ultimate Münster","Frau Rauscher & the Bembelboys","11","15","Pool A","Mixed 1. Liga 9-16","1","mixed1","Münster",
"2021-09-04 12:20:00",,,"Hucks Ultimate Club Berlin","Disckick Berlin","9","15","Pool B","Mixed 1. Liga 9-16","1","mixed1","Münster",
"2021-09-04 14:00:00",,,"Frau Rauscher & the Bembelboys","Maultaschen Tübingen","15","13","Pool A","Mixed 1. Liga 9-16","1","mixed1","Münster",
"2021-09-04 15:40:00",,,"Disckick Berlin","Dein Mudder Bremen","11","15","Pool B","Mixed 1. Liga 9-16","1","mixed1","Münster",
"2021-09-04 17:20:00",,,"Maultaschen Tübingen","Nullacht! Ultimate Münster","11","15","Pool A","Mixed 1. Liga 9-16","1","mixed1","Münster",
"2021-09-04 09:00:00",,,"Dein Mudder Bremen","Hucks Ultimate Club Berlin","14","12","Pool B","Mixed 1. Liga 9-16","2","mixed1","Münster",
"2021-09-04 12:20:00",,,"Next Generation Nürnberg","Dein Mudder Bremen","5","15","Pool B","Mixed 1. Liga 9-16","2","mixed1","Münster",
"2021-09-04 15:40:00",,,"Hucks Ultimate Club Berlin","Next Generation Nürnberg","9","15","Pool B","Mixed 1. Liga 9-16","2","mixed1","Münster",
"2021-09-04 09:00:00",,,"Seed #1","Seed #8",,,"Pool A","DMO21_8er","1","mixed1","Paderborn",
"2021-09-04 10:40:00",,,"Seed #2","Seed #7",,,"Pool B","DMO21_8er","1","mixed1","Paderborn",
"2021-09-04 12:20:00",,,"Seed #5","Seed #1",,,"Pool A","DMO21_8er","1","mixed1","Paderborn",
"2021-09-04 14:00:00",,,"Seed #6","Seed #2",,,"Pool B","DMO21_8er","1","mixed1","Paderborn",
"2021-09-04 15:40:00",,,"Seed #1","Seed #4",,,"Pool A","DMO21_8er","1","mixed1","Paderborn",
"2021-09-04 17:20:00",,,"Seed #2","Seed #3",,,"Pool B","DMO21_8er","1","mixed1","Paderborn",
"2021-09-04 09:00:00",,,"Seed #4","Seed #5",,,"Pool A","DMO21_8er","2","mixed1","Paderborn",
"2021-09-04 10:40:00",,,"Seed #3","Seed #6",,,"Pool B","DMO21_8er","2","mixed1","Paderborn",
"2021-09-04 12:20:00",,,"Seed #8","Seed #4",,,"Pool A","DMO21_8er","2","mixed1","Paderborn",
"2021-09-04 14:00:00",,,"Seed #7","Seed #3",,,"Pool B","DMO21_8er","2","mixed1","Paderborn",
"2021-09-04 15:40:00",,,"Seed #5","Seed #8",,,"Pool A","DMO21_8er","2","mixed1","Paderborn",
"2021-09-04 17:20:00",,,"Seed #6","Seed #7",,,"Pool B","DMO21_8er","2","mixed1","Paderborn",
"2021-09-04 09:00:00",,,"Hund Flach Werfen","Hucks Ultimate Club Berlin II","15","9","Pool A","Mixed 3./4. Liga NO","1","mixed34no","Magdeburg",
"2021-09-04 10:40:00",,,"Saxy Divers","Pizza Volante","10","15","Pool B","Mixed 3./4. Liga NO","1","mixed34no","Magdeburg",
"2021-09-04 12:20:00",,,"RotoR Ultimate Berlin","Hund Flach Werfen","7","12","Pool A","Mixed 3./4. Liga NO","1","mixed34no","Magdeburg",
"2021-09-04 14:00:00",,,"Schleudertrauma","Saxy Divers","12","11","Pool B","Mixed 3./4. Liga NO","1","mixed34no","Magdeburg",
"2021-09-04 15:40:00",,,"Hund Flach Werfen","Parkscheibe","15","7","Pool A","Mixed 3./4. Liga NO","1","mixed34no","Magdeburg",
"2021-09-04 17:20:00",,,"Saxy Divers","Griffins Lehre","15","10","Pool B","Mixed 3./4. Liga NO","1","mixed34no","Magdeburg",
"2021-09-04 09:00:00",,,"Parkscheibe","RotoR Ultimate Berlin","7","12","Pool A","Mixed 3./4. Liga NO","2","mixed34no","Magdeburg",
"2021-09-04 10:40:00",,,"Griffins Lehre","Schleudertrauma","10","15","Pool B","Mixed 3./4. Liga NO","2","mixed34no","Magdeburg",
"2021-09-04 12:20:00",,,"Hucks Ultimate Club Berlin II","Parkscheibe","13","11","Pool A","Mixed 3./4. Liga NO","2","mixed34no","Magdeburg",
"2021-09-04 14:00:00",,,"Pizza Volante","Griffins Lehre","14","13","Pool B","Mixed 3./4. Liga NO","2","mixed34no","Magdeburg",
"2021-09-04 15:40:00",,,"RotoR Ultimate Berlin","Hucks Ultimate Club Berlin II","12","15","Pool A","Mixed 3./4. Liga NO","2","mixed34no","Magdeburg",
"2021-09-04 17:20:00",,,"Schleudertrauma","Pizza Volante","12","15","Pool B","Mixed 3./4. Liga NO","2","mixed34no","Magdeburg",
"2021-09-04 09:00:00",,,"Heidees","TV Bad Rappenau","4","15","Pool A","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 10:40:00",,,"Flying Igels","Heidees TVE","7","15","Pool B","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 12:20:00",,,"TV Bad Rappenau","Colorado 2","15","4","Pool A","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 14:00:00",,,"Disconnection 2","Flying Igels","8","12","Pool B","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 15:40:00",,,"Colorado 2","Heidees","11","15","Pool A","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 17:20:00",,,"Flying Igels","Hechte","15","7","Pool B","Mixed 3. Liga SW","1","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 10:40:00",,,"Hechte","Disconnection 2","13","14","Pool B","Mixed 3. Liga SW","2","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 14:00:00",,,"Heidees TVE","Hechte","15","4","Pool B","Mixed 3. Liga SW","2","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 17:20:00",,,"Disconnection 2","Heidees TVE","1","15","Pool B","Mixed 3. Liga SW","2","mixed3sw","TV Eppelheim bei Heidelberg",
"2021-09-04 09:00:00",,,"Seed #2","Seed #7",,,"Pool B","DMO21_7er","1","X7","Münster",
"2021-09-04 10:40:00",,,"Seed #5","Seed #1",,,"Pool A","DMO21_7er","1","X7","Münster",
"2021-09-04 12:20:00",,,"Seed #6","Seed #2",,,"Pool B","DMO21_7er","1","X7","Münster",
"2021-09-04 14:00:00",,,"Seed #1","Seed #4",,,"Pool A","DMO21_7er","1","X7","Münster",
"2021-09-04 15:40:00",,,"Seed #2","Seed #3",,,"Pool B","DMO21_7er","1","X7","Münster",
"2021-09-04 17:20:00",,,"Seed #4","Seed #5",,,"Pool A","DMO21_7er","1","X7","Münster",
"2021-09-04 09:00:00",,,"Seed #3","Seed #6",,,"Pool B","DMO21_7er","2","X7","Münster",
"2021-09-04 12:20:00",,,"Seed #7","Seed #3",,,"Pool B","DMO21_7er","2","X7","Münster",
"2021-09-04 15:40:00",,,"Seed #6","Seed #7",,,"Pool B","DMO21_7er","2","X7","Münster",
"2021-09-04 09:00:00",,,"Colorado","Sturmflut","15","12","Pool A","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-04 10:40:00",,,"Mainzelrenner","Die 7 Todsünden","15","13","Pool B","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-04 12:20:00",,,"Disconnection","Colorado","15","13","Pool A","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-04 14:00:00",,,"Sugar Mix","Mainzelrenner","15","12","Pool B","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-04 15:40:00",,,"Colorado","Hässliche Erdferkel","14","15","Pool A","Mixed 1. Liga 1-8","1","X8","Paderborn",
"2021-09-04 17:20:00",,,"Mainzelrenner","Ars Ludendi","11","15","Pool B","Mixed 1. Liga 1-8","1","X8","Paderborn",
