"Division","Pool","Rank","Team","Games","Wins","Losses","GoalsFor","GoalsAgainst","GoalsDiff"
"WUCC Quali Damen","Pool A","1","jinX","1","1","0","15","11","4"
"WUCC Quali Damen","Pool A","2","Seagulls","1","0","1","11","15","-4"
"WUCC Quali Mixed","Pool A","1","Disconnection","4","4","0","58","44","14"
"WUCC Quali Mixed","Pool A","2","Mainzelrenner","4","2","2","54","41","13"
"WUCC Quali Mixed","Pool A","3","Colorado","4","2","2","56","51","5"
"WUCC Quali Mixed","Pool A","4","Frau Rauscher & the Bembelboys","4","2","2","47","52","-5"
"WUCC Quali Mixed","Pool A","5","Maultaschen","4","0","4","33","60","-27"
"WUCC Quali Open","Pool A","1","Bad Skid","6","6","0","78","52","26"
"WUCC Quali Open","Pool A","2","Wall City","6","5","1","77","50","27"
"WUCC Quali Open","Pool A","3","7 Schwaben","6","4","2","72","61","11"
"WUCC Quali Open","Pool A","4","MUC","6","3","3","67","64","3"
"WUCC Quali Open","Pool A","5","Hardfisch","6","1","5","62","72","-10"
"WUCC Quali Open","Pool A","6","Ars Ludendi","6","1","5","47","77","-30"
"WUCC Quali Open","Pool A","7","Heidees","6","1","5","48","75","-27"
"WMUCC Quali Mixed Masters","Pool A","1","Heidees","4","4","0","60","44","16"
"WMUCC Quali Mixed Masters","Pool A","2","SugarMix","4","3","1","57","48","9"
"WMUCC Quali Mixed Masters","Pool A","3","Spätmix","4","2","2","54","53","1"
"WMUCC Quali Mixed Masters","Pool A","4","Old Man Line","4","1","3","46","59","-13"
"WMUCC Quali Mixed Masters","Pool A","5","S5MmiXed","4","0","4","47","60","-13"
"WMUCC Quali Frauen Masters","Pool A","1","Seagulls","1","1","0","13","12","1"
"WMUCC Quali Frauen Masters","Pool A","2","jinX","1","0","1","12","13","-1"
"WMUCC Quali Open Masters","Pool A","1","GUC e.V.","4","4","0","60","33","27"
"WMUCC Quali Open Masters","Pool A","2","Hardfisch","4","3","1","57","38","19"
"WMUCC Quali Open Masters","Pool A","3","Wolpertinger","4","2","2","48","45","3"
"WMUCC Quali Open Masters","Pool A","4","Bonnsai","4","1","3","35","54","-19"
"WMUCC Quali Open Masters","Pool A","5","Family Ultimate","4","0","4","30","60","-30"
"Damen 1. Liga","Pool A","1","Mainzelmädchen","3","3","0","45","23","22"
"Damen 1. Liga","Pool A","2","Seagulls","3","2","1","40","34","6"
"Damen 1. Liga","Pool A","3","Woodchicas","3","1","2","31","37","-6"
"Damen 1. Liga","Pool A","4","GoHo Girls","3","0","3","23","45","-22"
"Damen 1. Liga","Pool B","1","jinX","3","3","0","45","22","23"
"Damen 1. Liga","Pool B","2","Heidelbärchen","3","2","1","44","19","25"
"Damen 1. Liga","Pool B","3","M-Pfau","3","1","2","20","39","-19"
"Damen 1. Liga","Pool B","4","Frankas","3","0","3","16","45","-29"
"Damen 1. Liga","Finale 1-4","1","Mainzelmädchen","1","1","0","15","12","3"
"Damen 1. Liga","Finale 1-4","2","Heidelbärchen","1","0","1","12","15","-3"
"Damen 1. Liga","Finale 1-4","3","jinX","1","1","0","15","13","2"
"Damen 1. Liga","Finale 1-4","4","Seagulls","1","0","1","13","15","-2"
"Damen 1. Liga","Finale 5-8","1","Woodchicas","3","3","0","42","27","15"
"Damen 1. Liga","Finale 5-8","2","GoHo Girls","3","2","1","37","26","11"
"Damen 1. Liga","Finale 5-8","3","M-Pfau","3","1","2","35","36","-1"
"Damen 1. Liga","Finale 5-8","4","Frankas","3","0","3","20","45","-25"
"Damen 2. Liga Nord","Pool A","1","Frizzly Bears","4","4","0","57","37","20"
"Damen 2. Liga Nord","Pool A","2","U de Cologne","4","3","1","57","34","23"
"Damen 2. Liga Nord","Pool A","3","Bonobabes","4","1","3","44","50","-6"
"Damen 2. Liga Nord","Pool A","4","Metronom","4","1","3","47","58","-11"
"Damen 2. Liga Nord","Pool A","5","Gulls2Sea","4","1","3","33","59","-26"
"Damen 2. Liga Süd","Pool A","1","MissTÜrious","3","3","0","45","22","23"
"Damen 2. Liga Süd","Pool A","2","MarGie","3","2","1","42","34","8"
"Damen 2. Liga Süd","Pool A","3","Black Foxx","3","1","2","33","37","-4"
"Damen 2. Liga Süd","Pool A","4","Heidelbärchen II","3","0","3","17","44","-27"
"Open 1. Liga 1-8","Pool A","1","Wall City","3","3","0","45","23","22"
"Open 1. Liga 1-8","Pool A","2","Bad Skid","3","2","1","38","38","0"
"Open 1. Liga 1-8","Pool A","3","BORA","3","1","2","31","41","-10"
"Open 1. Liga 1-8","Pool A","4","Heidees","3","0","3","33","45","-12"
"Open 1. Liga 1-8","Pool B","1","Ars Ludendi","3","3","0","45","40","5"
"Open 1. Liga 1-8","Pool B","2","MUC","3","2","1","44","38","6"
"Open 1. Liga 1-8","Pool B","3","Frizzly Bears","3","1","2","39","42","-3"
"Open 1. Liga 1-8","Pool B","4","7 Schwaben","3","0","3","37","45","-8"
"Open 1. Liga 1-8","Finale 1-4","1","Wall City","1","1","0","15","10","5"
"Open 1. Liga 1-8","Finale 1-4","2","MUC","1","0","1","10","15","-5"
"Open 1. Liga 1-8","Finale 1-4","3","Bad Skid","1","1","0","15","12","3"
"Open 1. Liga 1-8","Finale 1-4","4","Ars Ludendi","1","0","1","12","15","-3"
"Open 1. Liga 1-8","Finale 5-8","1","BORA","3","2","1","42","40","2"
"Open 1. Liga 1-8","Finale 5-8","2","Frizzly Bears","3","2","1","44","37","7"
"Open 1. Liga 1-8","Finale 5-8","3","Heidees","3","1","2","36","40","-4"
"Open 1. Liga 1-8","Finale 5-8","4","7 Schwaben","3","1","2","37","42","-5"
"Open 1. Liga 9-16","Pool A","1","Hardfisch","5","5","0","75","57","18"
"Open 1. Liga 9-16","Pool A","2","Frank N.","5","3","2","67","68","-1"
"Open 1. Liga 9-16","Pool A","3","Hässliche Erdferkel","5","3","2","70","59","11"
"Open 1. Liga 9-16","Pool A","4","GeRey","5","2","3","61","68","-7"
"Open 1. Liga 9-16","Pool A","5","Goldfingers","5","1","4","63","74","-11"
"Open 1. Liga 9-16","Pool A","6","Gummibärchen","5","1","4","59","69","-10"
"Open 2. Liga Nord","Pool A","1","Frühsport 02","4","4","0","60","41","19"
